Gene	Gene name	Brain region	TPM	pTPM	nTPM
ENSG00000002586	CD99	medulla oblongata	340.8	522.3	306.1
ENSG00000002586	CD99	midbrain	277.4	401.1	234.2
ENSG00000002586	CD99	pons	322.5	480.2	218.6
ENSG00000002586	CD99	spinal cord	309.8	450.6	331.2
ENSG00000002586	CD99	thalamus	143.4	198.9	146.5
ENSG00000002586	CD99	white matter	327.7	486.8	325.4
ENSG00000002587	HS3ST1	amygdala	6.9	9.6	10.5
ENSG00000002587	HS3ST1	basal ganglia	7.2	10.3	9.7
ENSG00000002587	HS3ST1	cerebellum	51.6	84.7	58.9
ENSG00000002587	HS3ST1	cerebral cortex	16.9	25.8	20.1
ENSG00000002587	HS3ST1	choroid plexus	2.3	3.1	4.5
ENSG00000002587	HS3ST1	hippocampal formation	7.1	10.5	8.8
ENSG00000002587	HS3ST1	hypothalamus	12.9	17.8	15.8
ENSG00000002587	HS3ST1	medulla oblongata	13.5	20.9	15.8
ENSG00000002587	HS3ST1	midbrain	10.6	15.0	12.6
ENSG00000002587	HS3ST1	pons	12.3	18.1	13.8
ENSG00000002587	HS3ST1	spinal cord	8.5	12.3	15.3
ENSG00000002587	HS3ST1	thalamus	14.7	20.4	18.7
ENSG00000002587	HS3ST1	white matter	12.0	17.6	18.9
ENSG00000002726	AOC1	amygdala	0.9	1.2	1.4
ENSG00000002726	AOC1	basal ganglia	1.0	1.5	1.2
ENSG00000002726	AOC1	cerebellum	1.3	2.2	1.6
ENSG00000002726	AOC1	cerebral cortex	1.0	1.6	1.6
ENSG00000002726	AOC1	choroid plexus	1.0	1.4	1.8
ENSG00000002726	AOC1	hippocampal formation	1.2	1.8	1.6
ENSG00000002726	AOC1	hypothalamus	1.3	2.0	1.4
ENSG00000002726	AOC1	medulla oblongata	1.6	2.4	2.1
ENSG00000002726	AOC1	midbrain	1.6	2.4	2.1
ENSG00000002726	AOC1	pons	1.4	2.1	1.8
ENSG00000002726	AOC1	spinal cord	1.3	2.0	1.6
ENSG00000002726	AOC1	thalamus	1.7	2.3	2.3
ENSG00000002726	AOC1	white matter	1.6	2.7	2.0
ENSG00000002745	WNT16	amygdala	0.6	0.9	0.7
ENSG00000002745	WNT16	basal ganglia	1.6	2.4	1.8
ENSG00000002745	WNT16	cerebellum	1.1	1.8	1.0
ENSG00000002745	WNT16	cerebral cortex	1.6	2.4	1.5
