cardiac_neuro_cava_random:FGF2|ENSG00000138685.17|EH38E3602834_fwd_tile1-1
cardiac_neuro_cava_random:GRIA2|ENSG00000120251.22|EH38E2339117_fwd_tile1-1
cardiac_neuro_cava_random:UGDH|ENSG00000109814.12|EH38E3581138_rev_tile1-1
cardiac_neuro_cava_random:WDFY3|ENSG00000163625.17|EH38E3592799_rev_tile1-1
cardiac_neuro_cava_random:WDFY3|ENSG00000163625.17|EH38E2309156_rev_tile1-1
cardiac_neuro_cava_random:WDFY3|ENSG00000163625.17|EH38E2309235_rev_tile1-1
cardiac_neuro_cava_random:WDFY3|ENSG00000163625.17|EH38E2309281_rev_tile1-1
cardiac_neuro_cava_random:PPP3CA|ENSG00000138814.17|EH38E3597260_rev_tile1-1
cardiac_neuro_cava_random:PPP3CA|ENSG00000138814.17|EH38E2315920_rev_tile1-1
cardiac_neuro_cava_random:PPP3CA|ENSG00000138814.17|EH38E3597288_rev_tile1-1
cardiac_neuro_cava_random:PPP3CA|ENSG00000138814.17|EH38E2315966_rev_tile1-1
cardiac_neuro_cava_random:TBCK|ENSG00000145348.17|EH38E3598566_rev_tile1-1
cardiac_neuro_cava_random:NR3C2|ENSG00000151623.15|EH38E2334337_rev_tile1-1
cardiac_neuro_cava_random:NR3C2|ENSG00000151623.15|EH38E2334373_rev_tile1-1
cardiac_neuro_cava_random:NR3C2|ENSG00000151623.15|EH38E2334376_rev_tile1-1
cardiac_neuro_cava_random:HAND2|ENSG00000164107.9|EH38E2344559_rev_tile1-1
cardiac_neuro_cava_random:HAND2|ENSG00000164107.9|EH38E2344626_rev_tile1-1
cardiac_neuro_cava_random:MTRR|ENSG00000124275.15|EH38E3625153_fwd_tile1-1
cardiac_neuro_cava_random:TRIO|ENSG00000038382.23|EH38E3626914_fwd_tile1-1
cardiac_neuro_cava_random:TRIO|ENSG00000038382.23|EH38E3626947_fwd_tile1-1
cardiac_neuro_cava_random:TRIO|ENSG00000038382.23|EH38E2358122_fwd_tile1-1
cardiac_neuro_cava_random:TRIO|ENSG00000038382.23|EH38E3627068_fwd_tile1-1
cardiac_neuro_cava_random:TRIO|ENSG00000038382.23|EH38E3627171_fwd_tile1-1
cardiac_neuro_cava_random:NIPBL|ENSG00000164190.19|EH38E2366394_fwd_tile1-1
cardiac_neuro_cava_random:NIPBL|ENSG00000164190.19|EH38E2366469_fwd_tile1-1
cardiac_neuro_cava_random:SLC22A5|ENSG00000197375.14|EH38E3660463_fwd_tile1-1
cardiac_neuro_cava_random:KDM3B|ENSG00000120733.14|EH38E3663917_fwd_tile1-1
cardiac_neuro_cava_random:KDM3B|ENSG00000120733.14|EH38E2412546_fwd_tile1-1
cardiac_neuro_cava_random:KDM3B|ENSG00000120733.14|EH38E3663991_fwd_tile1-1
cardiac_neuro_cava_random:NSD1|ENSG00000165671.22|EH38E3681673_fwd_tile1-1
cardiac_neuro_cava_random:NSD1|ENSG00000165671.22|EH38E2435458_fwd_tile1-1
cardiac_neuro_cava_random:MEF2C|ENSG00000081189.16|EH38E3647929_rev_tile1-1
